Date,Close,High,Low,Open,Volume
2015-01-02,39.607173919677734,40.16621433203323,39.420829269670776,39.52247209978069,27913900
2015-01-05,39.24297332763672,39.581784009498065,39.175209252563086,39.27685213400459,39673900
2015-01-06,38.66698455810547,39.59871780215953,38.57381058746639,39.28531709005674,36447900
2015-01-07,39.158260345458984,39.35307717529689,38.53145893314019,38.94650250026539,29114100
2015-01-08,40.31023025512695,40.445755169379694,39.57331373582574,39.59872364750787,29645200
2015-01-09,39.97140884399414,40.50503950724096,39.725772204490376,40.32716369654809,23944200
2015-01-12,39.47165298461914,40.26786438776945,39.26836730423394,40.16621831640922,23651900
2015-01-13,39.26837158203125,40.581269450698834,39.01426283828397,39.78506119197924,35270600
2015-01-14,38.92957305908203,39.16674411340675,38.64158217474929,38.92957305908203,29719600
2015-01-15,38.522972106933594,39.28530135114198,38.46368019140262,39.14977651119016,32750800
2015-01-16,39.16673278808594,39.20061158790526,38.26040623059236,38.37899333904909,35695300
2015-01-20,39.29377746582031,39.51400739071998,38.59921212944626,39.21754452738084,36161900
2015-01-21,38.89567565917969,39.08202357874209,38.52298305122286,38.91261667288245,39081100
2015-01-22,39.920570373535156,39.929039261490544,39.031188504549974,39.285297148379065,35898000
2015-01-23,39.96293258666992,40.1408083645792,39.641059823428634,40.11539846235434,26211600
2015-01-26,39.81895065307617,39.920596762733545,39.16673922087003,39.81048175952248,42525500
2015-01-27,36.13434982299805,36.59174743331679,35.66848332263674,36.379989639410056,169164000
2015-01-28,34.88920974731445,36.24446144218995,34.863799848359676,36.20211053354292,84507100
2015-01-29,35.58379364013672,35.67696762669774,34.55041735660179,34.669001255436214,63585300
2015-01-30,34.22006607055664,35.21956327058834,34.17771192030282,35.194150134202445,78004900
2015-02-02,34.96544647216797,35.04167940847748,34.07606436933538,34.38099611457342,50352500
2015-02-03,35.236507415771484,35.51602934831219,34.770640759372235,35.261920556746105,52082400
2015-02-04,35.43978500366211,35.75318563821659,35.03321042152365,35.524486829919795,41614800
2015-02-05,35.95647430419922,36.11740906547864,35.45672577782178,35.7616575201765,36548200
2015-02-06,35.922603607177734,36.24447646238456,35.70237685224794,36.15130248604822,34616600
2015-02-09,35.8802490234375,36.202121845833425,35.75319302662726,35.77860616469024,31381100
2015-02-10,36.083518981933594,36.227515930840994,35.7277675161038,36.20210603504367,29670700
2015-02-11,35.89719009399414,36.125888949905686,35.75319308197507,36.125888949905686,38262500
2015-02-12,36.49858093261719,36.49858093261719,36.007301199573504,36.134357194303604,33268800
2015-02-13,37.15925598144531,37.15925598144531,36.54939574513008,36.744212523649836,40264900
2015-02-17,37.17631530761719,37.534598549959924,36.84361954151914,37.509007819553176,33695700
2015-02-18,37.133663177490234,37.2786849228869,37.01423541902377,37.218971043653674,27111700
2015-02-19,37.10808181762695,37.13367255685861,36.72420445833611,36.83510308527861,27603400
2015-02-20,37.41518020629883,37.43224178224554,36.92893668138766,37.11660750847572,29721100
2015-02-23,37.66256332397461,37.69668321730927,37.236033742748,37.27868605003817,32518800
2015-02-24,37.61137390136719,37.790515522090956,37.46635216971315,37.66255861621485,25271700
2015-02-25,37.52608108520508,37.611385715918516,37.36399773102126,37.491957931254476,29759800
2015-02-26,37.585784912109375,37.730803396319054,37.4407631737375,37.52607103576866,28957300
2015-02-27,37.40664291381836,37.70521557271079,37.24456284470243,37.64550169176479,33807700
2015-03-02,37.43223571777344,37.69668196669678,37.150724641505214,37.25309082643805,31924000
2015-03-03,36.92040252685547,37.38958770787749,36.75832244424232,37.15926132469288,31748600
2015-03-04,36.73272705078125,36.86068396688332,36.57917614812892,36.69007149125159,25748700
2015-03-05,36.77537155151367,36.886270125263245,36.52798367705754,36.74124841279663,23193500
2015-03-06,36.13558578491211,36.77538014157369,35.95644414604583,36.68154311526401,36248800
2015-03-09,36.553592681884766,36.79245151817887,35.990573628173976,35.990573628173976,32108000
2015-03-10,35.85408020019531,36.43416076612526,35.85408020019531,36.127058907202006,39159700
2015-03-11,35.811439514160156,36.144132217953604,35.69201169784086,36.092950727624725,32215300
2015-03-12,34.992496490478516,35.52992481614904,34.8560071185486,35.256946072289196,59992500
2015-03-13,35.299591064453125,35.376366523614216,34.64273508144439,34.719510540605484,58007700
2015-03-16,35.45314025878906,35.521383300190095,35.214281478479236,35.37636480336135,35273500
2015-03-17,35.57257843017578,35.6834770658335,35.10339640046558,35.291067259851594,31673400
2015-03-18,36.25501251220703,36.53652358312324,35.256934906221815,35.34223951635033,44194800
2015-03-19,36.07587814331055,36.331795279394335,36.016164253363094,36.05028415178811,33879100
2015-03-20,36.57918167114258,36.66448629475725,36.24648908321741,36.30620297058025,71904500
2015-03-23,36.56211471557617,36.792441070439295,36.493868423396435,36.579176288621106,26246100
2015-03-24,36.59623718261719,36.82656027904431,36.46827701423567,36.49386774624707,25513300
2015-03-25,35.367828369140625,36.621826247199586,35.3507667971891,36.61329383414277,43469900
2015-03-26,35.15457534790039,35.495800392627054,34.90718735318171,35.16310776380831,37495600
2015-03-27,34.949832916259766,35.342239327412805,34.830405161053385,35.07778983076849,34401400
2015-03-30,34.941307067871094,35.436083008588625,34.898654755020964,35.0607348455166,35049700
2015-03-31,34.68537902832031,35.00100994914319,34.58301285884081,34.787745197799815,34887200
2015-04-01,34.73657989501953,34.77069979793954,34.386825670323304,34.63421042376939,36865300
2015-04-02,34.36976623535156,34.7536436410728,34.224744435784174,34.685397322649656,37487500
2015-04-06,35.44460678100586,35.64080999361883,34.275916664936226,34.412405997804484,39223700
2015-04-07,35.42755126953125,35.751714710870914,35.239880438577075,35.495797574723994,28809400
2015-04-08,35.333717346191406,35.56404376530546,35.0095571303982,35.36784050180013,24753400
2015-04-09,35.3848762512207,35.504303954514484,35.188673130929374,35.188673130929374,25723900
2015-04-10,35.589637756347656,35.78584101983785,35.32518818164528,35.51286228331556,28022000
2015-04-13,35.62375259399414,35.87967297049838,35.30812158491174,35.31665399968202,30276700
2015-04-14,35.52989959716797,35.85405959156199,35.30810249136047,35.657856462062135,24244400
2015-04-15,36.05028533935547,36.22089785375262,35.55551262718309,35.62375568044412,27343600
2015-04-16,35.96498107910156,36.118532018221806,35.67494077789256,35.78583940151564,22509700
2015-04-17,35.50430679321289,35.60667619350167,35.11190052125591,35.54695908291932,42387600
2015-04-20,36.60477828979492,36.82657229933314,35.55551563073608,35.59816794939766,46057700
2015-04-21,36.37444305419922,36.80950506000072,36.28060602337291,36.681544880844385,26013800
2015-04-22,36.67301940917969,36.79244718618352,36.29767124812437,36.40003744924724,25064300
2015-04-23,36.971580505371094,37.20190684652364,36.510927823065984,36.58770327011684,46309500
2015-04-24,40.83594512939453,41.06627151594485,38.94215581914096,38.950684979755664,130933700
2015-04-27,40.97243881225586,41.05774669824027,40.28146283367923,40.28999199519612,59248200
2015-04-28,41.93638610839844,41.97903841346363,40.69092057718614,40.75916361445799,60730800
2015-04-29,41.8510856628418,42.06435046355186,41.37337133775271,41.5610454037096,47804600
2015-04-30,41.49281311035156,42.2605679537094,41.4586899497215,41.54399785129666,64725500
2015-05-01,41.509864807128906,41.69753889174516,41.28807082417028,41.44162175628123,38937300
2015-05-04,41.151580810546875,41.68900581018208,41.100396082607055,41.262476173172175,34039500
2015-05-05,40.605613708496094,41.083327997761145,40.3582290313875,40.793287760379215,50369200
2015-05-06,39.47957229614258,40.750631728683416,39.25777837214538,40.580019265675226,52433000
2015-05-07,39.837867736816406,40.1705603245772,39.37721495953401,39.471051997961474,32971700
2015-05-08,40.733577728271484,40.92978095824322,40.53737449829975,40.562965233550905,35364900
2015-05-11,40.409423828125,40.87007669608258,40.409423828125,40.56297478411086,24609400
2015-05-12,40.39235305786133,40.67386416449815,39.59900771718281,39.96582344477235,29928300
2015-05-13,40.6312141418457,41.219823869552805,40.580029413894394,41.10892525273974,34184600
2015-05-14,41.5610466003418,41.646351221416886,40.97243365077051,40.97243365077051,32980900
2015-05-15,41.20276641845703,41.723133148486845,40.98950157855387,41.68900999310317,28642700
2015-05-18,40.95537567138672,41.134520598032694,40.614153902966216,40.929784933650005,24136500
2015-05-19,40.852333068847656,41.049811369468244,40.50889055236194,40.83516061549231,28574800
2015-05-20,40.852333068847656,41.15284281428973,40.5861649548057,40.689196399627185,25047900
2015-05-21,40.71497344970703,40.869522330541244,40.36294617120958,40.594769492460905,22410700
2015-05-22,40.26847839355469,40.654847088605955,40.19978858757477,40.611917597523615,25720600
2015-05-26,40.0023307800293,40.25132654116779,39.658888124989176,40.208397028115755,29581900
2015-05-27,40.87809753417969,41.0154739106577,40.028078952945556,40.19980024237086,27335600
2015-05-28,40.740726470947266,41.23013008068323,40.68920909480763,40.7836559800745,19283700
2015-05-29,40.23414611816406,40.84375359866685,40.002322863188795,40.72354967578588,36519600
2015-06-01,40.55183410644531,41.01548068184302,40.02808556112327,40.40587311528958,28837300
2015-06-02,40.28567123413086,40.65487096987068,40.02809086102014,40.2942591025781,21498300
2015-06-03,40.225547790527344,40.989707184255096,40.199790749554744,40.672021727477905,28002200
2015-06-04,39.804847717285156,40.49172967125194,39.6674713264918,40.17404738166321,27745500
2015-06-05,39.61594772338867,39.942217828469396,39.35836744056115,39.76191195802123,25438100
2015-06-08,39.26392364501953,39.86494653552109,39.212406274298395,39.75332720328093,22121600
2015-06-09,39.19524002075195,39.44423247622676,39.032103305603655,39.289683627829156,24406100
2015-06-10,40.01949691772461,40.208390675684974,39.2295802460542,39.31544253390499,28417400
2015-06-11,39.873531341552734,40.285660483612695,39.607366446334936,40.06242509323861,27347800
2015-06-12,39.46999740600586,39.89929908490412,39.40989543298505,39.684648245454994,23931000
2015-06-15,39.049259185791016,39.19522338078166,38.65430264103296,39.02350214709683,33254500
2015-06-16,39.34978485107422,39.70181201974231,38.894722943787784,38.93765244722317,27070300
2015-06-17,39.46999740600586,39.55585643166076,38.94624883370008,39.263931158997465,28704100
2015-06-18,40.113929748535156,40.182616279449924,39.64169551901386,39.6846282855596,32658300
2015-06-19,39.58160400390625,40.20838718724818,39.48716040843127,40.17404227508759,63837000
2015-06-22,39.693233489990234,40.11395058335945,39.63313151598205,39.77909579236759,20318100
2015-06-23,39.41846466064453,39.73614686211372,39.16946899786381,39.60735837383137,25896500
2015-06-24,39.186649322509766,39.710397795867216,39.10937490389455,39.21240637027775,34890900
2015-06-25,39.19524002075195,39.547267225366156,39.06644822198346,39.52150690042556,20616000
2015-06-26,38.860374450683594,39.73614999638676,38.66289613282565,39.195232407375784,49835300
2015-06-29,38.09621810913086,38.83461728908655,38.08763351938501,38.67148388142854,34081700
2015-06-30,37.907325744628906,38.39672921822506,37.72701661595347,38.38814135360159,35945400
2015-07-01,38.1649055480957,38.83461486707315,37.864392520759445,38.17349013730616,28343900
2015-07-02,38.12199020385742,38.42250006744453,37.83006493266772,38.190676768972246,21752000
2015-07-06,38.1133918762207,38.19066628783743,37.73560768348946,37.74419227353089,23034000
2015-07-07,38.03612518310547,38.199261904795925,37.19469434992606,38.07047010086258,36435800
2015-07-08,37.98461151123047,38.551289559383044,37.8043023286229,38.15632955133418,39785900
2015-07-09,38.225013732910156,38.826036610297436,38.20784127637781,38.42249207006533,32424700
2015-07-10,38.302276611328125,38.75733510876255,38.26793170860962,38.64571581258252,25465800
2015-07-13,39.100791931152344,39.1694784864798,38.594215893780735,38.6199729426146,28178300
2015-07-14,39.16947555541992,39.461400763167404,38.903310669890054,39.02351458920176,22880300
2015-07-15,39.28968811035156,39.40130746366471,39.00635070617127,39.221001545067075,26629600
